smiles,Active/Inactive
C[C@@H]1O[C@@H](O[C@@H]2[C@@H]3O[C@]3(CO)[C@H]3[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)OC=C[C@@H]23)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H]1O,0.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC1CCCCC1O,0.0
CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,0.0
CC(N)=O,0.0
COc1ccc(CCCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1,0.0
CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,1.0
Cc1c(F)ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2N2CCN(C)CC2)c1Cl,0.0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)CC[C@@H]32)C1,0.0
CC1(C)CCCC2(C)C1CC(=O)C13CC(CCC12)C(O)(CO)C3,0.0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,0.0
Cn1c(N2CCCC[S+]2(=O)[O-])nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,0.0
CC(C)(C)OC(=O)CN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1,0.0
COc1ccccc1-c1cc(Nc2cccc(C[S+](N)(=O)[O-])c2)ncn1,0.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,0.0
O=C(Nc1cc[nH]c(=O)c1)C1CCOc2ccc(Cl)cc21,0.0
C[C@]12CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC1CC[C@@H]1C2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,0.0
C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC(C)CCOC(C)=O,0.0
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(/C=C/c4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,0.0
C=C[C@](C)(O)CC[C@H]1C(C)=CC(=O)[C@H]2C(C)(C)CCC[C@@]21C,0.0
Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,0.0
CC(C)=CCc1cc(C(O)C2NC(=O)CNC(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C3CCCN3C(=O)CNC(=O)C(C(C)C)NC(=O)CNC2=O)ccc1O,0.0
COc1ccccc1CC(C(=O)O)N(C)C(=O)c1ccccc1,0.0
CC(=O)NCC1CN(c2ccc(-c3ccc(CNCc4cn[nH]n4)cc3)c(F)c2)C(=O)O1,0.0
NC[C@H]1O[C@H](O[C@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.0
N[S+](=O)([O-])c1cc2c(cc1Cl)NCN[S+]2(=O)[O-],0.0
CC(C)NCC(C(=O)N1CCN(c2ncnc3c2C(C)CC3O)CC1)c1ccc(Cl)cc1,0.0
CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)C5CC[C@]43C)C2C1,0.0
Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)c(C)c1,0.0
CC(C)NC(=O)c1ccc(C#Cc2ccncc2)cn1,0.0
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CC(=O)N(c3cncc4ccccc34)C2=O)C1,1.0
CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1/C=C/C(O)CCc1ccccc1,0.0
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2C1CC(O)C2C,0.0
C[N+](C)(C)CCOC(N)=O.[Cl-],0.0
Nc1ccc([S+](=O)([O-])Nc2ccnn2-c2ccccc2)cc1,0.0
O=C(NC[C@H](O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,0.0
CC(=O)OC1C(O)CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2CCC3C(=O)OC(c4ccoc4)CC3(C)C21,0.0
C[C@@H]1C[C@@H](O)[C@]2(O)O[C@@H]3C[C@@]4(C=O)C(CC[C@@H]5C4CC[C@]4(C)[C@@](O)(C6=CC(=O)OC6)CC[C@]54O)C[C@H]3OC2O1,0.0
CC(C)(C)c1ccc(N(C(=O)c2cnc(C(C)(C)CF)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,0.0
COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc([S+](=O)([O-])c4cccc(C(=O)N(C)C)c4)cc23)c1,0.0
COC1OC(=O)C2=C1C1(C)CCCC(C)(C)C1CC2O,0.0
COc1ccc2c(c1)C(c1ccc(F)cc1)=C(CN1CCCC1)CO2,0.0
CCOC1CC2(C1)CC2N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,0.0
C=C(C)C(=O)O[C@H]1C[C@@](C)(OC(C)=O)[C@@]2(O)CC[C@@](C)(O)[C@H](OC(C)=O)[C@@]23OC(=O)C(COC)=C13,0.0
C/N=c1\ncc2cc(-c3cc(N/C(O)=N/CCC(C)(C)C)c(F)cc3C)c(C)nc2[nH]1,0.0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)/C(N=O)=C5\N=C(N)SN5)[C@H]4SC3)C2=O)C1,0.0
CO[C@H]1/C=C\C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(/C)[C@@H]1OC(N)=O)C2=O,0.0
COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,0.0
O=C(O)c1ccc(CNCc2c[nH]nc2-c2cccs2)cc1,0.0
NCc1ccc(Nc2ncc(F)c(Nc3ccccc3)n2)cc1,0.0
Nc1cccn([C@@H](CC2CC2)C(=O)N[C@@H](CC2CCNC2=O)C(=O)C(=O)NCc2ccccc2)c1=O,0.0
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)nc(C)c1Br,0.0
COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,0.0
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)CO[C@@H]2OC(=O)[C@]23CCC(C)(C)CC2C2=CCC4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(C(=O)O)C5CC[C@@]4(C)[C@]2(C)CC3)[C@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,0.0
CC1CCCCN1CCCOC(=O)c1ccccc1.Cl,0.0
CNC(C)(C)Cc1ccccc1.CNC(C)(C)Cc1ccccc1.O=S(=O)(O)O,0.0
CCn1nnnc1NCc1ccc(C(C)C)cc1,0.0
COc1cccc(C2CCCN2C(=O)CCl)c1,0.0
C[C@@H]1C2C3=CCC4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,0.0
CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C,0.0
O=C(Nc1cncc2cc(F)ccc12)[C@H]1CCS(=O)(=O)c2ccc(Cl)cc21,0.0
Cc1cccc(CN2CCN(c3nc4ccccc4nc3C)CC2)c1,0.0
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,1.0
CCCCCCCCn1cc(CN(CC)CC)c2cc(-c3cnc(N)nc3)ccc21,0.0
CCc1ccc(Nc2c(F)c(F)cc(F)c2F)c(CC(=O)O)c1,0.0
COc1cc(O)cc2c1C(=O)OC(C)C2,0.0
O=C(Cc1ccc(F)cc1)Nc1cncc2ccccc12,1.0
C=CC/C=C\C/C=C\CCCCCCCc1cc(O)cc(O)c1,0.0
C=C1C(=O)O[C@@H]2C[C@H](C)[C@@H]3CC(=O)[C@H](O)[C@@]3(C)C[C@H]12,0.0
Cc1cc(C)cc(Oc2ccc(CNC(=O)[C@H](C)N)cc2C)c1,0.0
NC(CP(=O)(O)O)C(=O)O,0.0
CC(CN[S+](=O)([O-])C(C)C)c1ccc(-c2ccc(C#N)cc2)cc1,0.0
CO[C@H]1[C@@H](O)CC(O[C@H]2CC(Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](OC3C[C@@H](OC4C[C@H](OC6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@@H](O)[C@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@@H](OC)C(=O)[C@@H](O)[C@H](C)O)C5)O[C@@H](C)[C@H]2OC(C)=O)O[C@H]1C,0.0
CC[C@H]1/C=C\C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C,0.0
